model,segment,fps_mean,p95_ms,in_max,out_max,no_det_rate,det_mean
ANN (MLP),start,790.4618483412323,38.687,0,0,1.0,0.0
ANN (MLP),middle,805.5905100830369,39.92099999999999,0,0,1.0,0.0
ANN (MLP),end,805.7563151658767,43.874,0,0,1.0,0.0
AdaBoost,start,641.527808056872,133.518,0,0,0.5639810426540285,0.5592417061611374
AdaBoost,middle,691.9858600237247,136.11899999999997,0,0,0.66785290628707,0.36061684460260973
AdaBoost,end,766.724644549763,138.377,0,0,0.8957345971563981,0.11374407582938388
Decision Tree,start,648.9434715639811,35.67049999999999,0,0,0.5592417061611374,0.46445497630331756
Decision Tree,middle,669.8712574139976,39.095,0,0,0.47330960854092524,0.5931198102016607
Decision Tree,end,639.7032701421801,41.4555,0,0,0.5225118483412322,0.5521327014218009
Faster R-CNN,start,0.48544347826086953,2176.276,8,12,0.0,16.429565217391303
Faster R-CNN,middle,0.4782086956521739,2195.55,9,20,0.0,10.991304347826087
Faster R-CNN,end,0.4784521739130435,2195.3099999999995,11,21,0.0,9.826086956521738
Gradient Boosting,start,653.5032938388626,37.897,0,0,0.4928909952606635,0.5924170616113744
Gradient Boosting,middle,652.8485290628707,41.748,0,0,0.5444839857651246,0.5361803084223014
Gradient Boosting,end,713.824443127962,44.224,0,0,0.75,0.26895734597156395
KNN,start,784.0968601895735,92.997,0,0,1.0,0.0
KNN,middle,791.2705812574139,96.29599999999999,0,0,1.0,0.0
KNN,end,765.8972511848342,103.84999999999997,0,0,1.0,0.0
Mask R-CNN,start,0.4292412451361868,2460.7585,8,8,0.0,17.20622568093385
Mask R-CNN,middle,0.43417153996101365,2426.66,8,12,0.0,12.044834307992202
Mask R-CNN,end,0.4240466926070039,2495.1455,9,15,0.0,15.350194552529183
MobileNet-SSD,start,25.506789099526067,42.8385,0,0,0.830568720379147,0.19075829383886256
MobileNet-SSD,middle,25.657378410438906,42.047999999999995,0,0,0.9323843416370107,0.07236061684460261
MobileNet-SSD,end,25.760758293838865,41.66,0,0,0.9632701421800948,0.03909952606635071
Naive Bayes,start,871.2372867298578,35.294999999999995,0,0,1.0,0.0
Naive Bayes,middle,857.2306168446027,38.538,0,0,1.0,0.0
Naive Bayes,end,811.8576777251185,43.3385,0,0,1.0,0.0
Random Forest,start,787.9658886255924,798.9155,0,0,0.995260663507109,0.004739336492890996
Random Forest,middle,826.2572241992882,797.276,0,0,1.0,0.0
Random Forest,end,822.5891706161137,804.137,0,0,1.0,0.0
RetinaNet,start,0.46991134751773045,2208.7715000000003,9,11,0.0,11.27659574468085
RetinaNet,middle,0.4689520426287744,2213.346,9,18,0.0,7.175843694493783
RetinaNet,end,0.4743516873889876,2185.382,11,18,0.046181172291296625,7.891651865008881
SSD,start,3.990118483412322,267.6435,0,0,0.5959715639810427,0.47985781990521326
SSD,middle,3.977924080664294,268.456,0,0,0.8185053380782918,0.2040332147093713
SSD,end,3.9795023696682463,266.75849999999997,0,0,0.8696682464454977,0.13033175355450238
SVM,start,806.7309241706162,37.9885,0,0,1.0,0.0
SVM,middle,852.5690272835112,40.492,0,0,1.0,0.0
SVM,end,845.4449289099526,43.53049999999999,0,0,1.0,0.0
YOLOv8n,start,19.66398104265403,59.92899999999999,5,6,0.008293838862559242,3.927725118483412
YOLOv8n,middle,18.498113879003558,95.98499999999997,7,11,0.1257413997627521,1.8576512455516014
YOLOv8n,end,19.06308056872038,62.05949999999999,9,11,0.04976303317535545,2.1587677725118484
YOLOv8s,start,9.307381516587679,127.4335,7,7,0.037914691943127965,4.841232227488152
YOLOv8s,middle,9.685599051008303,120.62499999999999,9,12,0.09608540925266904,2.069988137603796
YOLOv8s,end,9.699869668246444,119.06,10,12,0.001184834123222749,2.5497630331753554
